Epoch,Total Reward
,32.78469297
1,28.956963
2,39.51736442
3,36.8775279
4,3.6611
5,37.59376771
6,28.51417817
7,32.21545464
8,35.83573946
9,35.25738815
1,33.74818819
11,34.96914989
12,31.71162699
13,35.717295
14,4.6237216
15,32.34669343
16,27.465468
17,36.355985
18,35.3473268
19,37.73959669
2,34.134724
21,35.4969165
22,34.81279746
23,39.68225421
24,37.111113
25,35.79342192
26,36.14124
27,35.1112469
28,28.86345188
29,33.495355
3,36.58754299
31,32.43853393
32,28.22575754
33,39.57984937
34,36.36347538
35,3.2232752
36,39.38524352
37,35.54912351
38,34.7535567
39,28.894396
4,38.85969748
41,31.8293
42,33.88959646
43,31.9382811
44,29.73176
45,37.38684
46,31.8458144
47,37.5832169
48,3.97493588
49,4.95979
5,42.4885732
51,36.5578691
52,29.993355
53,37.78616521
54,47.6231477
55,31.42323249
56,32.35632831
57,41.2119295
58,34.156127
59,33.44761662
6,37.5624118
61,35.9984343
62,35.6558539
63,35.13694733
64,34.98891196
65,39.54648453
66,33.29756173
67,33.659534
68,33.47942463
69,36.2873757
7,33.36846
71,32.69378
72,35.96183811
73,35.61814
74,34.95339484
75,35.853562
76,33.9175142
77,32.78972492
78,37.975674
79,37.4271151
8,35.84412861
81,37.532137
82,36.39728986
83,36.69624973
84,39.163615
85,34.42691733
86,39.62128337
87,42.546339
88,37.54448945
89,36.14172387
9,34.6391561
91,41.14857735
92,34.86852666
93,34.8312672
94,4.4225989
95,42.4112424
96,39.6578466
97,48.9783987
98,38.23815
99,4.586267
1,33.81856844
11,5.435691
12,44.29229431
13,4.828895
14,38.65147564
15,4.4893952
16,35.29332828
17,36.7663624
18,36.48914282
19,34.658166
11,37.38384442
111,36.4745687
112,43.53852548
113,43.25383
114,56.2898439
115,4.23612341
116,37.274559
117,48.3493594
118,36.7187
119,34.772855
12,34.52667722
121,36.43511234
122,47.5175247
123,34.72952
124,39.44514
125,42.573187
126,43.5973623
127,36.49369881
128,48.12225923
129,43.1654199
13,37.3251989
131,4.7247
132,51.27224954
133,37.4163426
134,46.1573887
135,4.1248349
136,45.51975424
137,52.6228626
138,41.5211512
139,4.76491337
14,38.23948
141,47.232715
142,39.61691875
143,4.7337725
144,38.71137579
145,39.27524277
146,4.7848
147,52.713739
148,45.457611
149,45.63858716
15,49.67972518
151,46.31368893
152,46.25744615
153,46.24615949
154,39.6117844
155,45.29452532
156,44.6254358
157,53.2644689
158,51.8995438
159,39.9563224
16,45.6117342
161,54.829247
162,5.71468883
163,44.7184262
164,46.835282
165,38.4352125
166,52.6919982
167,46.49512241
168,47.1389279
169,5.31144666
17,45.722376
171,5.7414368
172,41.1932136
173,66.5671176
174,52.5693612
175,39.1156669
176,65.73722453
177,62.5666858
178,51.32498196
179,52.8452812
18,67.57685897
181,61.3555819
182,44.7569313
183,36.55826181
184,63.55757769
185,7.86238621
186,56.13541322
187,76.37714
188,64.27483412
189,72.86386
19,54.93169687
191,92.51133661
192,5.212265
193,46.946119
194,49.6395417
195,64.915246
196,82.57841135
197,88.42862939
